Designator,Mid X,Mid Y,Rotation,Layer
AE1,114.623711,-117.1559,90.0,bottom
C1,136.277137,-121.579156,225.0,bottom
C10,133.170835,-116.228838,0.0,bottom
C11,133.17,-111.29,0.0,bottom
C12,133.16,-117.2,0.0,bottom
C13,133.21,-110.21,0.0,bottom
C14,132.96,-107.25,180.0,bottom
C15,132.98,-108.23,180.0,bottom
C16,128.11,-117.92,90.0,bottom
C17,136.31,-119.95,180.0,bottom
C18,137.915,-113.275,180.0,bottom
C19,136.525,-114.65,0.0,bottom
C2,137.062027,-126.012716,45.0,bottom
C20,138.3,-120.525,270.0,bottom
C21,126.43,-108.82,0.0,bottom
C22,125.62,-117.9,90.0,bottom
C23,123.74,-113.67,110.0,bottom
C24,123.450835,-112.028838,200.0,bottom
C25,126.43,-107.78,0.0,bottom
C26,123.590835,-109.808838,180.0,bottom
C27,123.590835,-110.808838,0.0,bottom
C28,121.08,-111.66,270.0,bottom
C29,118.16,-111.63,90.0,bottom
C3,128.549211,-131.001156,270.0,bottom
C30,138.6,-118.45,270.0,bottom
C4,132.727462,-121.466019,45.0,bottom
C5,125.69747,-120.461033,0.0,bottom
C6,125.706124,-121.364186,0.0,bottom
C7,133.23,-109.25,180.0,bottom
C8,135.15,-108.97,0.0,bottom
C9,133.170835,-115.278838,0.0,bottom
D1,131.490025,-122.675172,45.0,bottom
D2,126.41,-106.79,0.0,bottom
D3,137.04,-116.65,0.0,bottom
J1,156.604849,-55.680002,0.0,bottom
L1,130.45,-108.35,90.0,bottom
L2,131.45,-108.37,270.0,bottom
L3,122.53,-112.7,20.0,bottom
Q1,122.929998,-124.100035,90.0,bottom
R1,155.25,-60.01,270.0,bottom
R10,122.47,-130.737535,180.0,bottom
R11,134.620835,-114.788838,90.0,bottom
R12,133.170835,-114.338838,180.0,bottom
R13,136.99,-118.98,180.0,bottom
R14,136.575,-117.9,180.0,bottom
R15,126.38,-105.73,0.0,bottom
R16,119.63,-112.16,0.0,bottom
R17,124.49,-113.42,270.0,top
R18,124.567644,-120.046393,270.0,top
R19,134.51,-119.57,0.0,bottom
R2,158.31,-60.01,270.0,bottom
R20,134.500001,-118.7,180.0,bottom
R21,129.95,-132.57,180.0,bottom
R3,135.69024,-126.465264,315.0,bottom
R4,133.950757,-120.893263,135.0,bottom
R5,137.475,-122.79,225.0,bottom
R6,132.720391,-125.37632,225.0,bottom
R7,133.957828,-126.613757,45.0,bottom
R8,131.4125,-130.372502,270.0,bottom
R9,132.105208,-122.088273,45.0,bottom
SW1,121.44,-117.080002,270.0,top
SW10,128.024999,-80.455001,180.0,top
SW11,128.024999,-99.505002,0.0,top
SW12,137.549999,-134.555001,90.0,top
SW13,147.075003,-89.98,0.0,top
SW14,156.6,-134.555001,270.0,top
SW15,185.075002,-61.404999,0.0,top
SW16,166.125,-80.455001,180.0,top
SW17,166.125,-99.505002,0.0,top
SW18,175.65,-134.555001,90.0,top
SW19,185.175001,-80.455001,180.0,top
SW2,80.400001,-61.815669,0.0,top
SW20,185.175001,-99.505002,0.0,top
SW21,194.700001,-134.555001,90.0,top
SW22,232.800002,-61.815669,0.0,top
SW23,204.225,-80.455001,180.0,top
SW24,204.225,-99.505,0.0,top
SW25,223.275,-80.455001,180.0,top
SW26,223.275,-99.505,0.0,top
SW27,242.324999,-80.455001,180.0,top
SW28,242.324999,-99.505002,0.0,top
SW3,70.875002,-89.98,90.0,top
SW4,89.925001,-80.455001,180.0,top
SW5,89.925001,-99.505,0.0,top
SW6,128.025004,-61.405002,0.0,top
SW7,108.975,-80.455001,180.0,top
SW8,108.975,-99.505,0.0,top
SW9,118.5,-134.555001,270.0,top
TH1,137.514575,-124.669213,135.0,bottom
TP1,125.324288,-125.766865,0.0,top
TP10,127.964371,-129.754223,0.0,top
TP11,133.603376,-113.048717,0.0,top
TP2,125.0,-122.63,0.0,top
TP3,120.172761,-128.598886,0.0,top
TP4,124.29,-130.33,0.0,top
TP5,131.96,-123.29,0.0,top
TP6,131.93,-120.35,0.0,top
TP7,121.46,-124.13,0.0,top
TP8,121.46,-122.24,0.0,top
TP9,131.454034,-129.905848,0.0,top
U1,129.965,-130.95,0.0,bottom
U2,134.778072,-123.728761,45.0,bottom
U3,122.929999,-128.177535,270.0,bottom
U4,127.625,-120.45,270.0,bottom
U5,122.295896,-118.414102,90.0,bottom
U6,128.390836,-113.144507,0.0,bottom
U7,137.307501,-117.110002,180.0,bottom
X1,135.16,-110.76,270.0,bottom
X2,123.7,-107.79,180.0,bottom
